和蔼,héǎi,kindly
和气,héqì,friendly
目光,mùguāng,sight
慈祥,cíxiáng,kindly
跨,kuà,to step across
自主,zìzhǔ,independent
甭,béng,need not
脱离,tuōlí,to separate oneself from
诱惑,yòuhuò,to entice
无比,wúbǐ,incomparable
向往,xiàngwǎng,to yearn for
孤独,gūdú,lonely
哭鼻子,kūbízǐ,to snivel (usually humorous)
片刻,piànkè,short period of time
步伐,bùfá,pace
包围,bāowéi,to surround
感染,gǎnrǎn,infection
恨不得,hènbùdé,wishing one could do sth
跟前,gēnqián,in front of
团圆,tuányuán,to have a reunion
近来,jìnlái,recently
酝酿,yùnniàng,(of alcohol) to ferment
刹那,shānà,an instant (Sanskrit: ksana)
反常,fǎncháng,unusual
埋怨,máiyuàn,to complain
体谅,tǐliàng,to empathize
无精打采,wújīngdǎcǎi,dispirited and downcast (idiom); listless
规划,guīhuá,to plan (how to do sth)
熬,áo,to boil
漫长,màncháng,very long
寂静,jìjìng,quiet
稿件,gǎojiàn,rough draft
难得,nándé,seldom
心疼,xīnténg,to love dearly
掩饰,yǎnshì,to cover up
隐瞒,yǐnmán,to conceal
唠叨,láodāo,to prattle
吃苦,chīkǔ,to bear hardships
欣慰,xīnwèi,to be gratified
本事,běnshì,source material
皱纹,zhòuwén,wrinkle
顿时,dùnshí,immediately
不由得,bùyóudé,can't help
热泪盈眶,rèlèiyíngkuàng,eyes brimming with tears of excitement (idiom)
