迫不及待,pòbùjídài,impatient (idiom); in a hurry
依靠,yīkào,to rely on sth (for support etc)
借助,jièzhù,to draw support from
勉强,miǎnqiáng,to do with difficulty
机构,jīgōu,mechanism
栋,dòng,classifier for houses or buildings
兴致勃勃,xīngzhìbóbó,to become exhilarated (idiom); in high spirits
专程,zhuānchéng,specifically
修养,xiūyǎng,accomplishment
接连,jiēlián,on end
涉及,shèjí,to involve
隐私,yǐnsī,secrets
反感,fǎngǎn,to be disgusted with
火药,huǒyào,gunpowder
忍耐,rěnnài,to show restraint
着想,zháoxiǎng,to give thought (to others)
策划,cèhuá,to plot
达成,dáchéng,to reach (an agreement)
口气,kǒuqì,tone of voice
缓和,huǎnhé,to ease (tension)
随意,suíyì,as one wishes
而已,éryǐ,that's all
设置,shèzhì,to set up
动力,dònglì,power
固然,gùrán,admittedly (it's true that...)
恳切,kěnqiē,earnest
无非,wúfēi,only
知音,zhīyīn,intimate friend
客户,kèhù,client
持久,chíjiǔ,lasting
崩溃,bēngkuì,to collapse
果断,guǒduàn,firm
斩钉截铁,zhǎndīngjiétiě,lit. to chop the nail and slice the iron (idiom)
思维,sīwéi,(line of) thought
搭,dā,to put up
执行,zhíxíng,to implement
啥,shà,dialectal equivalent of "什么"
薪水,xīnshuǐ,salary
弊端,bìduān,malpractice
拼命,pīnmìng,to do one's utmost
搁,gē,to place
颠倒,diāndǎo,to turn upside down
权衡,quánhéng,to weigh
津津有味,jīnjīnyǒuwèi,with keen interest pleasure (idiom); with gusto
