月饼,yuèbǐng,mooncake (esp. for the Mid-Autumn Festival)
清晨,qīngchén,early morning
迎面,yíngmiàn,directly
模样,móyáng,look
打量,dǎliàng,to size sb up
番,fān,measure word similar to 遍
搓,cuō,to rub or roll between the hands or fingers
迟疑,chíyí,to hesitate
拜托,bàituō,to request sb to do sth
饱经沧桑,bǎojīngcāngsāng,having lived through many changes
流露,liúlù,to express
朴实,pǔshí,plain
过于,guòyú,too much
操劳,cāoláo,to work hard
胡须,húxū,beard
起码,qǐmǎ,at the minimum
口音,kǒuyīn,oral speech sounds (linguistics)
乡镇,xiāngzhèn,village
原先,yuánxiān,former
裁缝,cáiféng,tailor
港口,gǎngkǒu,port
斯文,sīwén,refined
心眼儿,xīnyǎnér,one's thoughts
信誉,xìnyù,prestige
欺骗,qīpiàn,to deceive
学位,xuéwèi,academic degree
一流,yīliú,top quality
主管,zhǔguǎn,in charge
助手,zhùshǒu,assistant
骨干,gǔgān,diaphysis (long segment of a bone)
小心翼翼,xiǎoxīnyìyì,cautious and solemn (idiom); very carefully
喜悦,xǐyuè,happy
拨,bō,to push aside with the hand
仍旧,réngjiù,still (remaining)
隐约,yǐnyuē,vague
浑身,húnshēn,all over
馅儿,xiànér,filling
灿烂,cànlàn,to glitter
惦记,diànjì,to think of
丢人,diūrén,to lose face
炫耀,xuànyào,to show off
面子,miànzǐ,outer surface
辜负,gūfù,to fail to live up (to expectations)
期望,qīwàng,to have expectations
